"id","gender","partyAffiliation","partyMix","householdHead","householdRank","income","homeOwner","mailOrder","compOwner","educationLevel","donateReligion","donatePolitics","donateArts","donateAnimals","donateChild","donateHealth","donatePoverty","donateEnvironment","fec_01_02","fec_99_00","fec_97_98","fec_95_96","fec_93_94","fec_03_04","fec_05_06","dontPhone","ageD","cnt","gen90","pri90","oth90","gen91","pri91","oth91","gen92","ppp92","oth92","gen93","pri93","oth93","gen94","pri94","oth94","gen95","pri95","oth95","gen96","ppp96","oth96","gen97","pri97","oth97","gen98","pri98","oth98","gen99","pri99","oth99","gen00","ppp00","oth00","gen01","pri01","oth01","gen02","pri02","oth02","pri03","gen03","oth03","ppp04","oth04","gen04","cntEligible","percentAttended","ageY","pProb","pNodes","ageC","incC","eduC","pSegs"
"876","M","D","allRorDorLegal","H","1","E","A","1","1","D","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","Y",19188,7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1",7,0.159090909090909,52.4950755088641,0.929199432627864,14,"(45.8,54.2]","35k-75k","secondary","12"
"877","F","U","noneR","H","1","D","A","1","0","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N",17166,5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1",5,0.113636363636364,46.9632304661852,0.35673319498065,14,"(45.8,54.2]","35k-75k","secondary","12"
"878","M","R","allR","H","1","E","D","1","0","B","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N",15144,17,"0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","1","0","0","1","1","0","1","0","0","0","1","0","1","0","0","1","1","0","1","0","1","1","1","0","0","1","0","0","0","1",17,0.386363636363636,41.4313854235062,0.854625421804101,9,"(36.7,45.8]","35k-75k","primary","7"
"879","F","U","noneRorD","M","2","D","1","1","1","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N",16737,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,45.7895600787919,0.533239790341192,15,"(45.8,54.2]","35k-75k","secondary","13"
"880","F","R","allR","M","2","C","A","1","1","B","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","N",23628,17,"0","0","0","1","0","0","1","0","0","1","1","0","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","1","0","1","0","0","1","1","0","0","1","1","1","0","1",17,0.386363636363636,64.6421536441234,0.933411664735066,9,"(54.2,108]","< 35k","primary","7"
"881","F","U","noneRorD","H","1","E","D","0","1","B","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y",15463,3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1",3,0.0681818181818182,42.3041146859269,0.988852233424012,14,"(36.7,45.8]","35k-75k","primary","12"
"882","M","U","unknown","M","3+","E","A","1","0","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y",9857,6,"0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4,0.153846153846154,26.9670606259575,2.90070146546963e-12,3,"(19.2,36.7]","35k-75k","secondary","2"
"883","M","U","noneRorD","M","2","F","A","1","0","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N",17561,4,"0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4,0.0909090909090909,48.0438826876778,0.536849628051861,15,"(45.8,54.2]","> 75k","secondary","13"
"884","M","R","unknown","M","2","C","A","1","1","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N",14596,11,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","0","0",11,0.647058823529412,39.9321514554607,2.90070146547075e-12,4,"(36.7,45.8]","< 35k","secondary","2"
"885","F","U","noneRorD","H","1","F","A","1","1","D","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","Y",18008,4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1",4,0.0909090909090909,49.2667979864303,0.703036128078187,14,"(45.8,54.2]","> 75k","secondary","12"
"886","M","D","allD","H","1","E","A","1","1","C","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","N",16014,15,"0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","1","0","1","0","0","1","1","0","1","0","0","1","1","0","0","1","0","1","0","1",11,0.478260869565217,43.8115561391989,0.811731831908373,8,"(36.7,45.8]","35k-75k","secondary","6"
"887","M","R","onlyRorD","H","1","E","A","1","1","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y",12996,11,"0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1",11,0.268292682926829,35.5548260013132,0.802432824921578,9,"(19.2,36.7]","35k-75k","secondary","7"
"888","M","D","allD","H","1","D","A","1","0","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N",30282,17,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","0","0","1","1","0","1","0","0","1","1","0","1","0","1","0","1","1","1","1","0","1","0","1",17,0.386363636363636,82.8463558765594,0.797162365944016,8,"(54.2,108]","35k-75k","secondary","6"
